하루가 또 가네요.	하루가 또 갔습니다.
마스크 쓰고 다니세요.	마스크 쓰고 다니십시오.
마스크 쓰고 다니세요.	마스크 쓰고 다니십시오.
오늘 미세먼지가 많데요.	오늘 미세먼지가 많다고 합니다.
얼른 청소하세요.	얼른 청소하십시오.
얼른 청소하세요.	얼른 청소하십시오.
오늘 미세먼지가 많데요.	오늘 미세먼지가 많다고 합니다.
청소하세요.	청소하십시오.
지금도 그러고 있어요.	지금도 그러고 있습니다.
지금도 그러고 있어요.	지금도 그러고 있습니다.
지금도 멋져요.	지금도 멋집니다.
좋은 사람과 함께 가세요.	좋은 사람과 함께 가십시오.
지금도 멋져요.	지금도 멋집니다.
잠깐씩 멍때리는것도 정신건강에 좋아요.	잠깐씩 멍때리는것도 정신건강에 좋습니다.
잠깐씩 멍때리는것도 정신건강에 좋아요.	잠깐씩 멍때리는것도 정신건강에 좋습니다.
다음에는 다를거예요.	다음에는 다를겁니다.
메뉴얼 대로 하지 않는 사람들이 많죠.	메뉴얼 대로 하지 않는 사람들이 많습니다.
메뉴얼 대로 하지 않는 사람들이 많죠.	메뉴얼 대로 하지 않는 사람들이 많습니다.
발이 달렸나봐요.	발이 달렸나 봅니다.
발이 달렸나봐요.	발이 달렸나 봅니다.
오늘부터 하기로 해요.	오늘부터 하기로 합니다.
오늘부터 하기로 해요.	오늘부터 하기로 합니다.
시간 가는 줄 모르겠어요.	시간 가는 줄 모르겠습니다.
좋은 만남이었길 바라요.	좋은 만남이었길 바랍니다.
지저분해요.	지저분합니다.
좋은 걸로 사세요.	좋은 걸로 사십시오.
잘 골라보세요.	잘 골라보십시오.
좋은 걸로 사세요.	좋은 걸로 사십시오.
잘 골라보세요.	잘 골라보십시오.
그래도 해야 깔끔하겠죠.	그래도 해야 깔끔할 겁니다.
그래도 해야 깔끔하겠죠.	그래도 해야 깔끔할 겁니다.
깔끔한게 좋죠.	깔끔한게 좋습니다.
깔끔한게 좋죠.	깔끔한게 좋습니다.
제 선물 사오세요.	제 선물 사오십시오.
제 선물 사오세요.	제 선물 사오십시오.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
열심히 준비한만큼 잘 볼 수 있을 거예요.	열심히 준비한만큼 잘 볼 수 있을 겁니다.
열심히 준비한만큼 잘 볼 수 있을 거예요.	열심히 준비한만큼 잘 볼 수 있을 겁니다.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
잘 볼 수 있을 거예요.	잘 볼 수 있을 겁니다.
끝까지 잘할 수 있을 거예요.	끝까지 잘할 수 있을 겁니다.
끝까지 잘할 수 있을 거예요.	끝까지 잘할 수 있을 겁니다.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.	회사와 자신에 대해서 더 공부해서 자신감을 가져보십시오.
잘 볼 수 있을 거예요.	잘 볼 수 있을 겁니다.
안전 운전 하세요.	안전 운전 하십시오.
운전하는거 재미있어요.	운전하는거 재미있습니다.
운전하는거 재미있어요.	운전하는거 재미있습니다.
운전 재미있어요.	운전 재미있습니다.
운전 재미있어요.	운전 재미있습니다.
날려버리시길 바라겠습니다.	날려버리시길 바라겠습니다.
현금이 최고입니다.	현금이 최고입니다.
날려버리시길 바라겠습니다.	날려버리시길 바라겠습니다.
고가의 선물은 부담스러울 수도 있어요.	고가의 선물은 부담스러울 수도 있습니다.
남의 눈을 위한 거라면 필요 없어요.	남의 눈을 위한 거라면 필요 없습니다.
잘 되길 바랍니다.	잘 되길 바랍니다.
기다리는 동안 많은 생각이 들었겠네요.	기다리는 동안 많은 생각이 들었겠습니다.
가리면 돼요.	가리면 됩니다.
가리면 돼요.	가리면 됩니다.
조심하세요.	조심하십시오.
조심하세요.	조심하십시오.
지금 많이 위축된 상태인 것 같습니다.	지금 많이 위축된 상태인 것 같습니다.
모르는걸 알려면 노력해야죠.	모르는걸 알려면 노력해야 합니다.
그렇다면 여우네요.	그렇다면 여우입니다.
그래서 배우는 게 즐겁죠.	그래서 배우는 게 즐겁습니다.
받지마세요.	받지마십시오.
받지마세요.	받지마십시오.
자신과 마음이 맞는 좋은 사람 만나세요.	자신과 마음이 맞는 좋은 사람 만나십시오.
세상에는 예상하지 못한 일들이 자주 일어나는 것 같아요.	세상에는 예상하지 못한 일들이 자주 일어나는 것 같습니다.
혹시 반한 걸 수도 있어요.	혹시 반한 걸 수도 있습니다.
진짜 모르는 걸 수도 있어요.	진짜 모르는 걸 수도 있습니다.
진짜 모르는 걸 수도 있어요.	진짜 모르는 걸 수도 있습니다.
그게 서로에게 좋았던 선택일 거예요.	그게 서로에게 좋았던 선택일 겁니다.
그게 서로에게 좋았던 선택일 거예요.	그게 서로에게 좋았던 선택일 겁니다.
꿩 먹고 알 먹고네요.	꿩 먹고 알 먹고 입니다.
물 마시세요.	물 마시십시오.
물 마시세요.	물 마시십시오.
가끔씩 스트레칭을 해주세요.	가끔씩 스트레칭을 해주십시오.
물 드세요.	물 드십시오.
로맨틱하네요.	로맨틱하십니다.
로맨틱하네요.	로맨틱하십니다.
저도 좀 알려주세요.	저도 좀 알려주십시오.
저도 듣고 싶네요.	저도 듣고 싶습니다.
시원하게 씻고 오세요.	시원하게 씻고 오십시오.
시원하게 씻고 오세요.	시원하게 씻고 오십시오.
물 드세요.	물 드십시오.
가끔씩 스트레칭을 해주세요.	가끔씩 스트레칭을 해주십시오.
목감기 오려나봐요.	목감기 오려나 봅니다.
목감기 오려나봐요.	목감기 오려나 봅니다.
목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없어요. 생길 거예요.	목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없습니다. 생길 겁니다.
목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없어요. 생길 거예요.	목표는 있으면 좋겠지만 없다고 미리 걱정할 필요 없습니다. 생길 겁니다.
다음부터는 더 많이 아세요.	다음부터는 더 많이 아십시오.
저도 몰랐어요.	저도 몰랐습니다.
운동으로 만들어 보아요.	운동으로 만들어 보십시오.
지금도 충분히 아름다워요.	지금도 충분히 아름답습니다.
따뜻하게 관리하세요.	따뜻하게 관리하십시오.
아무 생각 하지 말고 쉬세요.	아무 생각 하지 말고 쉬십시오.
아무 생각 하지 말고 쉬세요.	아무 생각 하지 말고 쉬십시오.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
장거리 연애 힘들겠죠.	장거리 연애 힘들겠습니다.
피로를 풀어야 할 것 같아요.	피로를 풀어야 할 것 같습니다.
그러면 못할 게 없겠네요.	그러면 못할 게 없겠습니다.
스트레칭을 해보세요.	스트레칭을 해보십시오.
스트레칭을 해보세요.	스트레칭을 해보십시오.
피로를 풀어야 할 것 같아요.	피로를 풀어야 할 것 같습니다.
천천히 말해달라고 부탁해보세요.	천천히 말해달라고 부탁해보십시오.
그런 사람이 있으면 저 좀 소개시켜주세요.	그런 사람이 있으면 저 좀 소개시켜주십시오.
잘하는 것도 많아요.	잘하는 것도 많습니다.
잘하는 것도 많아요.	잘하는 것도 많습니다.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
자신의 감정을 주변 사람들에게 터놓고 이야기해보세요.	자신의 감정을 주변 사람들에게 터놓고 이야기해보십시오.
돈을 지불하고 이용할 가치가 있는지 따져보세요.	돈을 지불하고 이용할 가치가 있는지 따져보십시오.
비가 오려나요.	비가 오려나 봅니다.
비가 오려나요.	비가 오려나 봅니다.
무릎에 무리가 갈 거예요.	무릎에 무리가 갈 겁니다.
지금도 늦지 않았어요.	지금도 늦지 않았습니다.
오늘도 평안했던 하루에 감사하는 마음을 가져보세요.	오늘도 평안했던 하루에 감사하는 마음을 가져보십시오.
요즘 예민한가봐요.	요즘 예민한가 봅니다.
해주세요.	해주십시오.
조심하세요.	조심하십시오.
조심하세요.	조심하십시오.
어흥!! 호랑이보다 무섭나요?	어흥!! 호랑이보다 무섭습니까?
하고 싶은 말 다하세요.	하고 싶은 말 다하십시오.
인맥이 넓으신가봐요.	인맥이 넓으신가 봅니다.
당신이 행복하길 바라는 생각을 하고 있어요.	당신이 행복하길 바라는 생각을 하고 있습니다.
어울리는 향수가 있을 거예요.	어울리는 향수가 있을 겁니다.
여름이네요.	여름입니다.
양이 많으면 추천해요.	양이 많으면 추천합니다.
양이 많으면 추천해요.	양이 많으면 추천합니다.
힘껏 밀어보세요.	힘껏 밀어보십시오.
심하면 신고하세요.	심하면 신고하십시오.
힘껏 밀어보세요.	힘껏 밀어보십시오.
나중에 후회할 수도 있을 것 같아요.	나중에 후회할 수도 있을 것 같습니다.
나중에 후회할 수도 있을 것 같아요.	나중에 후회할 수도 있을 것 같습니다.
보험처리 하세요.	보험처리 하십시오.
힘껏 밀어보세요.	힘껏 밀어보십시오.
저랑 하세요.	저랑 하십시오.
보험처리 하세요.	보험처리 하십시오.
보험처리 하세요.	보험처리 하십시오.
인정해주세요.	인정해주십시오.
다양하게 배우면 좋죠.	다양하게 배우면 좋습니다.
다양하게 배우면 좋죠.	다양하게 배우면 좋습니다.
부지런하시네요.	부지런하십니다.
부지런하시네요.	부지런하십니다.
보일러를 켜세요.	보일러를 켜십시오.
좋은 건강습관이에요.	좋은 건강습관입니다.
좋은 건강습관이에요.	좋은 건강습관입니다.
좋은 습관이에요.	좋은 습관입니다.
습관을 들여보세요.	습관을 들여보십시오.
좋은 습관이에요.	좋은 습관입니다.
소개팅 시켜달라고 말해보세요.	소개팅 시켜달라고 말해보십시오.
부지런하시네요.	부지런하십니다.
보일러를 켜세요.	보일러를 켜십시오.
건강에 좋을 거예요.	건강에 좋을 겁니다.
그러게 말이에요.	그러게 말입니다.
그러게 말이에요.	그러게 말입니다.
칼로리 소모가 꽤 돼요.	칼로리 소모가 꽤 됩니다.
청소를 좋아하시나봐요.	청소를 좋아하시나 봅니다.
몸 관리 꾸준히 해주세요.	몸 관리 꾸준히 해주십시오.
몸 관리 꾸준히 해주세요.	몸 관리 꾸준히 해주십시오.
부지런하시네요.	부지런하십니다.
단수가 되었는지 문의해 보세요.	단수가 되었는지 문의해 보십시오.
조금만 참고 기다려 보세요.	조금만 참고 기다려 보십시오.
냉장고 파먹기 해보세요.	냉장고 파먹기 해보십시오.
좀 먹어도 괜찮아요.	좀 먹어도 괜찮습니다.
색다른걸 드셔보세요.	색다른걸 드셔보십시오.
무엇이든 물어보세요.	무엇이든 물어보십시오.
오늘은 예능이요.	오늘은 예능입니다.
저도 어려운 게 투성이에요.	저도 어려운 게 투성입니다.
환해 보이는 옷이요!	환해 보이는 옷이 좋을 것 같습니다!
환해 보이는 옷이요!	환해 보이는 옷이 좋을 것 같습니다!
옷이요.	옷입니다.
좀 먹어도 괜찮아요.	좀 먹어도 괜찮습니다.
무엇이든 물어보세요.	무엇이든 물어보십시오.
배우는 건 항상 즐거운 일이에요.	배우는 건 항상 즐거운 일입니다.
독서와 음악감상이라고 하고 싶지만 아무 것도 안 했어요.	독서와 음악감상이라고 하고 싶지만 아무 것도 안 했습니다.
일해요.	일합니다.
오늘 헤어졌어 라고 하면 위로해 드려요.	오늘 헤어졌어 라고 하면 위로해 드립니다.
독서와 음악감상이라고 하고 싶지만 아무 것도 안 했어요.	독서와 음악감상이라고 하고 싶지만 아무 것도 안 했습니다.
상처받았나봐요.	상처받았나 봅니다.
처음부터 되짚어보세요.	처음부터 되짚어보십시오.
스스로의 우선순위를 정해보세요.	스스로의 우선순위를 정해보십시오.
계속 그러면 말하세요.	계속 그러면 말하십시오.
